幼学琼林全鉴（珍藏版）, 著
中国财政绩效报告（2019）,中国财政学会绩效管理研究专业委员会课题组…
公共文化服务标准体系研究,李小涛
挫折到转折：浙商精神与管理学思考,朱桂平
质量成就梦想：WOS潍柴质量管理模式,谭旭光
不懂带团队 你就自己累,杨航
如何管员工才会听 怎么带员工才愿干,博群
新疆大学MBA案例（第1辑）,马新智 等
水火管理学,谭立东
云南少数民族古籍珍本集成（第38卷藏族 精）,暂缺作者
云南少数民族古籍珍本集成（第39卷藏族 精）,暂缺作者
聚落与变迁,汪榕
马瑞芳话《红楼梦》,马瑞芳
欧罗巴的权力游戏：《冰与火之歌》背后的历史,（英）埃德·韦斯特 著
季风讲中国历史故事,季风
1910年的列车,段锡
枫丹白露宫：千年法国史,（法）让·弗朗索瓦· 埃贝尔，（…
丝绸之路研究集刊（第三辑 精装）,陕西师范大学历史文化学院，陕西历史博物馆…
故宫文物南迁,李家俊
卓尼土司与木里土司制度比较研究（一）,魏长青
东北非物质文化遗产丛书：民间表演艺术卷,徐昭峰，徐松岩
舞台花鼓灯的文化传承与基因,潘丽
北方民居营造做法,胡银玉
无限接近自然：武重义的建筑设计美学,（越）武重义 著
盛世风华：上海市文史研究馆庆祝中华人民共和国成立七十周年馆员书画艺术作品集,上海市文史研究馆
新编史志传记写作方法与范例,李和忠
中华第一帝都（精装）,徐卫民
老口泉纪实,郭福，武占明，武宏
思源激流,暂缺作者
金坛年鉴（2018 精）,暂缺作者
启东年鉴（精）,暂缺作者
东阳建市30周年大事记（1988-2018）,暂缺作者
天工与意境：青田石雕艺术,陈墨
说话的艺术：如何把话说得滴水不漏, 编
别输在不会表达上, 编
一开口就让人喜欢你, 编
适应中国制造2025的高职制造专业人才培养要素优化研究,，
人才开发新论, 著
转型发展背景下地方高校人才供给侧改革与创新研究：基于衡阳师范学院经济与管理学院人才培养实践,，
面向智能制造的人才培养策略, 著
东北地区人才资源配置研究, 著
应用型本科人才弹性力培养,，
新工科创新人才培养1（机械工程学院2017年度教改论文集）,，
移动图书馆云服务研究,None
iSchools运动与图书情报学教育的变革,，
高职高专院校图书馆绩效评价方法研究,None
中国阅读的历史与传统（第二辑）,，
图书馆绘本阅读推广（第二辑）,，
上博简《曹沫之陈》疏证与研究,None
档案数据处理：生活经历研究,（美）格伦·H.埃尔德，伊莉莎·K…
汉藏双语导读常用最高人民法院司法解释及指导案例：商事卷,本书编写组
汉藏双语导读常用最高人民法院司法解释及指导案例：刑事卷,暂缺作者
汉蒙双语导读常用最高人民法院司法解释及指导案例：行政国家赔偿卷,暂缺作者
美国机电产品能效法规技术支撑体系,暂缺作者
UG NX机械零件设计与制造工程应用案例教程,姜正武
南海天然气水合物成藏理论,杨胜雄 等
油气光学实验,赵昆 等
拖拉机电液控制技术,尹修杰
中外钢铁牌号速查手册（第4版）,张永裕，李维钺，李军
燃气具安装维修工（中级）,中国五金制品协会，邓四平 等
机械设计师手册 上册,吴宗泽
燃气具安装维修工（初级）,中国五金制品协会，蒋勇泉 等
机械设计师手册 下册,吴宗泽，高志
羊毛毡材料技术的传承问题研究,宝·阿茹娜
高等机构原理及其应用,朱莉莉，王广欣
饲料加工设备及加工工艺,暂缺作者
中国蚕桑.丝织的产生.发展与西传,杨群章
中国第三产业统计年鉴-2018,国统局
中国人口和就业统计年鉴-2018,国统局
数说中国保险改革开放四十年,中国保险行业协会
中国住户调查年鉴-2018,国家局
2016年中国教育经费发展报告,教育部
中国房地产统计年鉴-2018,国统局
迈向高质量发展的中国经济,宁吉喆
中国居民收支与生活状况报告-2018,国统局
中国农村经营管理统计年报（2017年）,暂缺作者
无人机摄影测量技术在水土保持信息化中的应用,王念忠，张大伟，刘建祥
浙江水利年鉴（精）,暂缺作者
水土保持设计手册：规划与综合治理卷,暂缺作者
黄河述说,暂缺作者
泰州水利大事记（精）,暂缺作者
阿克苏河流域灌溉水资源调控配置研究,张超，张辉，刘新华，孙晓雷，李治龙
厄瓜多尔CCS水电站水力学及泥沙试验研究,赵连军，武彩萍，李远发，朱超，宋莉萱 等…
特高拱坝变形安全监控理论和方法及其应用（精）,顾冲时，赵二峰，周钟，蔡德文
社会资本参与的大中型水利工程资产管理模式及机制研究,贺骥，张闻笛，吴兆丹，李伟
水利水电工程施工技术全书 第二卷 土石方工程 第九册 疏浚与吹填工程施工技术,杨涛，周志辉 等
洪涝灾害及防灾减灾对策（防灾减灾技术丛书）,向立云 等
SPH数值波浪水槽的改进及应用,倪兴也，冯卫兵
南水北调中线丹江口水利枢纽工程重大工程地质问题及勘察技术研究,黄振伟，杜胜华，张丙先
水权分配、管理及交易：理论、技术与实务,郑航，王忠静，赵建世
中国建设年鉴2018,《中国建设年鉴》编委会
大渡河中游及外围区域构造稳定性研究（精）,李文纲，朱可俊，邓忠文，黄春
人生归途,余立功
梁漱溟传,金鸿儒
大学中庸（英汉双语大字版）,暂缺作者
函数式Python编程 第2版（影印版）,Steven F.Lott
Python趣味编程：从入门到人工智能,谢声涛
动态耦合机制下高技术产业发展与金融供给侧改革研究,李露
2019中国房地产年鉴（精装）,中国房地产业协会
玉米产业发展研究：基于供给侧改革视角的重庆案例（精）,吴园，姚永红，李波
家具企业转型升级的第三种动力,李若辉
我国金融业开放与风险防范研究,李辉
中国移动支付市场机制与效率研究,高丛，吕廷杰，张益群
国家生态文明试验区实施方案（海南）,中共中央办公厅，国务院办公厅
干部选拔任用工作监督检查和责任追究办法,编写组 编
数字乡村发展战略纲要,编写组 编
齐心开创共建一带一路美好未来：在第二届一带一路国际合作高峰论坛开幕式上的主旨演讲,习近平
出生性别比治理绩效的影响机制,毕雅丽，李树茁
人类心灵简史：像神一样思考，像人一样行动（全两册）,（英国）詹姆斯·乔治·弗雷泽
人口老龄化与养老资源配置,赵东霞
最高人民检察院司法解释 指导性案例理解与适用（2018）,最高人民检察院法律政策研究室
中国法院2019年度案例 人格权纠纷（含生命、健康、身体、姓名、肖像、名誉权纠纷）,国家法官学院案例开发研究中心
中国法院2019年度案例 房屋买卖合同纠纷,国家法官学院案例开发研究中心
民事诉讼法及司法解释新编（含请示答复及指导案例 最新版）,中国法制出版社
中公教育2020公务员录用考试教材：公共基础知识,李永新
中公教育2019山东省社区工作者招聘考试教材：一本通,李永新
中公教育2019山东省社区工作者招聘考试教材：历年真题汇编详解,李永新
四川省普通高校在校生专升本考试高等数学,杨丽，唐婷，邵艺
全国各类成人高考复习考试辅导教材 医学综合（专科起点升本科 第16版）,陈嬿
税法：应用.技能.案例.实训,李贺
甘肃近代高等教育发展研究,买雪燕
中国审计发展报告：2018经验探索制度建构公告概览和前景展望,暂缺作者
我国农村劳动力就地就近转移就业问题研究,刘锐
中国经济增长质量发展报告2019：新时代下中国经济的高质量发展,任保平 等
中国房地产市场发展,赵雪凌
资源型地区创新驱动发展研究,刘那日苏
一带一路与中国区域经济发展研究,孙久文，高志刚，张世贤
经济虚拟化下的流动性陷阱与宏观经济政策,董永祥
君子文化与高等商科教育,陈飞虎
价值链视角下基于关键要素的商业模式选择方法研究,刘凯宁，樊治平
重庆学,孟东方 等
绿色发展新理念 绿色家庭,生态环境部宣传教育中心
绿色发展新理念 绿色机关,生态环境部宣传教育中心
绿色发展新理念 绿色企业,生态环境部宣传教育中心
世界上最伟大的推销员,汪迪
高星级酒店炫耀性营销研究,黎耀奇，谢礼珊
营销大统领,高态亨
科学的广告,（美）克劳德·霍普金斯
销售大咖那些事,张海翔
营销策划实务,朱金福
销售心理学,李昊轩
数字化创业：前沿理论与中国实践,郭海
人力资源管理（一）,全国高等教育自学考试指导委员会 组编
工商管理中的定性研究（第2版）,（新西兰）迈克尔·D.麦尔斯
东方云帆：上海电影集团产业十五年发展纪实,天云，武谓
云南民族史讲义（上下）,方国瑜
兴仁县民族宗教志（精）,暂缺作者
龙山县民族志,龙山县民族宗教事务局
中国古代北方游牧民族行国体制研究：以鲜卑为中心的探讨,苗霖霖
蒙古族图典：综合卷（蒙汉对照 精）,高娃
藏族金工艺术：甘孜藏族自治州白玉河坡非物质文化遗产研究,蔡光洁，黄兴
族群空间与地域环境：中国古代巴人的历史地理与生态人类学考察,朱圣钟
中国艺术史图典大系（全8卷9册）,中国文物协会专家委员会 主编
丝绸之路话丝绸,李建华
大清权监李莲英,王牧
清宫大内侍卫口述实录,富察建功
为君染白梨花殇：真实的清宫后妃,兰泊宁
苦难辉煌（青少版）,金一南 著
贸易战、八国乱与倒霉蛋,雪珥
田青印象,张振涛
田青年表,翟风俭
丝绸之路千年史：从长安到罗马,柯胜雨
集美学村的先生们,陈满意
新四军故事,刘以顺
大国起航：中国船舶工业战略大转折纪实,舒德骑 著
太平洋海战之谜,赵振愚
白堠乡的故事：地域史脉络下的乡村社会建构,肖文评
那方山水那方人：客家源流新说,王东
春秋战国,苏若荻
锣鼓书曲本：传统篇、现代篇,谈敬德
吴桥杂技与艺术研究,（日）木之下章子
陶埏意匠：广东民间工艺博物馆藏明清至民国时期石湾艺术陶器,暂缺作者
舞动的民间艺术：后坝溪土家花灯,吕文忠
厝前厝后,宋永贤
代县十大民间传统技艺,杨继兴
非物质文化遗产的田野图像：云南藏族木碗文化,李志农，刘虹每
非物质文化遗产的田野图像：哈播哈尼族长街宴,郑宇，谭本玲，黄绍文
非物质文化遗产的田野图像：北班榜村的瓦猫,马佳
非物质文化遗产的田野图像：石林月湖村密枝节,陈学礼
非物质文化遗产的田野图像：城子村傣族泼水节,金少萍
中国民间美术的传承与新发展,曾华晖
视觉武陵山：武陵山地区民间美术研究,许玉兰
中国木偶戏地域性风格分析与研究,陈海燕
浙东说唱艺术探源,祁慧民
从你的全世界错过, 著
爸爸是只狗, 著
怕，就会输一辈子,暂缺作者
青春的梦，在青春做完,苑子文，苑子豪
学长请留步（3）,不二哥
需要保密的情话,北流
岁岁与君好,追月逐花
如意萌萌兽：傲娇仙君乖乖蛇1,花飒
如意萌萌兽：呜见习灵猪不好当1,陈痴
似你者甜,何处听雨
我想去你心里，住一生,凌霜降
脱线萌星易容记3,沐沐紫
世界第一的女王陛下4：星夜霓光（大结局）,忘川晴
十六岁，晴天似雨天1：小镇来信,淡蓝蓝蓝
肠子的小心思（增订版）,（德）朱莉娅·恩德斯 著，（德）吉尔…
老年社会工作服务嵌入健康老龄化：浙江省特殊困难老人社会工作服务示范项目报告及优秀案例,暂缺作者
从零开始学温敷,蔡仁妤，艾利
养腰活腿，身体就轻松,吴建勋
大病都有小信号,朱宏
珞珈印记：武汉大学原工学院保护修缮纪事,上海住总集团建设发展有限公司
乡野古桥：鄂南地区现存古桥建筑艺术研究,夏晋
建极绥猷：北京历史文化名城保护与文化价值研究,王军
历史老城区保护传承规划设计,李勤，胡炘，刘怡君
蒙古族图典（住居卷蒙汉对照 精）,额尔德木图
桥梁文化与美学,朱尔玉
北海老城区骑楼建筑形态研究,莫贤发
古建巡礼,刘阳 著
建筑速写,吴小亮，尚龙勇
江宁年鉴（精）,暂缺作者
南澳石刻调查,高健斌，彭亮 著，杨国桢 编
杭州市德胜坝翻水站志（精）,暂缺作者
东阳年鉴（精）,暂缺作者
荷塘年鉴（2018 精）,程轶辉
拉孜年鉴（2018总第1卷 精）,暂缺作者
余杭年鉴（2018 精）,暂缺作者
丰顺年鉴（2018 精）,暂缺作者
临朐年鉴（2018 精）,暂缺作者
太仓年鉴（2018 精）,暂缺作者
海门年鉴（2018 精）,暂缺作者
彭山年鉴（2018 精）,暂缺作者
海宁年鉴（2018 精）,暂缺作者
鹤山年鉴（2018 精）,暂缺作者
区域史研究 创刊号（总第1辑）,温春来
上海年鉴（1852 全二册）,周育民，上海市地方志办公室，北华捷报馆
我们的食物,肖非，芦燕云，程文捷 等
我的社区,肖非，芦燕云 等
我们的特奥运动,肖非，芦燕云，程文捷 等
霍懋征的爱的教育,陈一鸣
新教育公平视野下的教师教育改革,杨跃 著，程天君 编
遇见你遇见温暖：有温度的教育故事,项声菊
黑柳彻子眼中的理想教育,王彤
近代教育学的奠基人夸美纽斯,孙强
崇通：书法学术文论集,张坚
李先海雕塑艺术作品集：纪念改革开放40周年四川新文艺组织新文艺群体发展成果展,李先海
江南书法史,徐文平
魏碑体金刚经,谢云生 书
iPhone简史,布莱恩-麦切特（Brian Merchant） 著
广东技能人才供给侧改革与模式创新, 著
美国杰出人才移民全程指南, 著
国外杰出人物成才环境与规律研究, 著
商科人才培养学生工作理论与实践, 编
宁波人才发展报告2018, 编
技术技能人才职业能力协同培育研究,，
最初的爱情，最后的仪式,（英）伊恩·麦克尤恩
我的凤凰姐妹,吴易梦
丢失的记忆,德尔乔·达塔
一口一口吃掉你：我们一起来严肃谈谈性,生命时报
黄花沟之恋,智广俊
死神主宰的航行,张士敏
降低烟草特有N-亚硝胺综合技术及在卷烟中的应用,暂缺作者
高科技产业创新与演化：基于历史友好模型,（意）,弗朗科·马雷尔巴 等
起重机驾驶员,中石化第四建设有限公司
木板水印技艺,朱茹洁 主编
威慑赛博战,（美）布瑞恩·M·马赞内克，（冰…
坡耕地水土流失综合治理探索与实践,冯伟，赵永军，王海燕
黄河下游宽滩区滞洪沉沙功能及滩区减灾技术研究（精）,江恩慧，李军华，陈建国，王远见，曹永涛 …
滇池流域水资源系统水量水质时空优化调控技术研究,周丰，董延军，李丽娟，顾世祥，马巍 等
水资源短缺条件下灌区种植结构调整研究,张金萍，丁志宏，郭兵托，赵勇
突变理论在水资源管理中的应用,李继清，彭玲，李安强
基于混合模型的地下水埋深时空预测研究：以民勤绿洲为例,张仲荣，闫浩文
南水北调河渠湖库复杂水网输水控制模式及技术,罗辉，靳宏昌，李福生，王军良 等
大国速度 艰难起步：第一部完整讲述中国铁路发展史,杨红光
藏族姓氏文化,班戈纳木措文化丛书编委会
讲疏,李幸福
伤寒论语译,任应秋
深化文明交流互鉴 共建亚洲命运共同体：在亚洲文明对话大会开幕式上的主旨演讲,习近平
中共中央国务院关于建立国土空间规划体系并监督实施的若干意见,编写组 编
中共中央国务院关于深化改革加强食品安全工作的意见,编写组 编
绿色建筑技术设计图集,华东建筑集团股份有限公司
石墨烯材料的基础及其在能源领域的应用,暂缺作者
中国民间金融的法律监管和规范发展,王梓，李臻，邵燕，肖忆雪
新时期下科技金融全产业链服务模式研究,陈燕，江玮，李强，何立果
绿色发展新理念 绿色乡村,生态环境部宣传教育中心
绿色发展新理念 绿色学校,生态环境部宣传教育中心
中国电子信息工程科技发展热点：集成电路产业专题,中国信息与电子工程科技发展战略研究中心
2018上海产业和信息化发展报告：智慧城市,上海经信委
人力资源管理：理论.实务.案例.实训（第二版）,王岩
海派经济学（第65期）,程恩富
近代地方银行的运营机制和职能功效：上海市银行剖析（1930—1949）,畅童娜
湖北省产业结构优化升级与生态文明建设融合发展研究,付宏，汪金伟，宋来胜
大股东行为对农业上市公司财务决策影响研究,刘莹
经济建设新成就,汪立峰
基于民生负担测度的抑制商品投机研究,吴军
体育营销全程操盘及案例解析,陈伟
中国注册会计师行业制度全编（增补版2018 精）,暂缺作者
中国审计评论（第11辑2019.1）,暂缺作者
广告策划一本通（第2版）,滕红琴
私董会：深受企业家欢迎的学习道场,郑敬普
家庭农场经营管理实务,陈军民，王娟
微信公众号运营：100000+爆款软文内容速成（第2版）,叶龙
赢单罗盘训战手册：打造大客户销售铁军,鲁冰山，曾子亮，夏凯
创业理论与模拟实训教程,郭凯
煤炭营销教程,暂缺作者
网红设计师IP运营法则：如何在互联网时代建立设计师品牌,朱小斌，王建军，沈铭慈
点亮心味道 巴黎印记,张岚
恒河之流,（清）衮布扎布
第六届北京国际藏学研讨会文集,暂缺作者
战争特典013：条顿骑士团全史,赵恺
西南彝志（第25-26卷）,陈宗玉
战争特典012：千年匈奴史,龚琛
中原学术文库,闫德亮
北凉五王探研,杨荣春
贵州省非物质文化遗产田野调查丛书：黔东南苗族侗族自治州卷,杨军昌，李小毛，杨蕴希
贵州省非物质文化遗产田野调查丛书：黔西南布依族苗族自治州卷,杨军昌，周梅
贵州省非物质文化遗产田野调查丛书：黔南布依族苗族自治州卷,徐静，杨军昌
唐物的文化史（精装）,（日）河添房江 著
日本侵华决策史料丛编（全46册）,徐勇 臧运祜 总主编
派系斗争与国民党政府运转关系研究,张晧 著
锦中文画：中国古代织物上的文字及其图案研究,刘安定，李斌
冷战的静谧边界（精装）,（美）尤利娅·科姆斯卡 著
英国与1937年《德黑兰条约》签订始末,季慧 著
澳大利亚混血土著问题研究,杨洪贵
中国民间艺术鉴赏与研究,倪倩
中国最美原始瓷（第三辑）,贾薇
中国最美民族服饰（第三辑）,祁春英
中国最美社火马勺脸谱（第三辑）,李舸 等
中国最美传统印染（第三辑）,刘莹
中国最美窗花（第三辑）,郁高娣
中国最美纸笺（第三辑）,刘靖
中国最美荷包与肚兜（第三辑）,王海霞
海峡两岸石雕艺术口述史（精装）,徐东树
解丝成文：朱辛伟扎染纹样图鉴,朱辛伟，张博
祖灵声纹：羌族口头艺术的叙事、表演与文本,焦虎三，焦好雨
学京剧 画京剧：道具乐器,安平
学京剧 画京剧：百变脸谱,安平
学京剧 画京剧：华美服饰,安平
学京剧 画京剧：生旦净丑,安平
创造与心智成长（修订版）, 编
你努力合群的样子，真的好孤独, 著
52赫兹的回声,果麦文化 出品，饶雪漫 著
红裙子绿裙子, 著
羊角水堡的耳朵, 著
地球的故事, 译
勇敢的船长, 译
没有眼前的苟且，哪来的诗和远方, 著
当24遇到14, 著
致亲爱的自己, 著
像野草一样生长, 著
校园正义者联盟, 著
再次进击, 著
大大的城市，小小的我, 著
不好意思我也是第一次当大人,，
萝莉将军蜀中乱（三）,纪出矣
绯色樱花圆梦纪Ⅳ,易浅浅
巧克力色微凉青春（Ⅳ）,简蔓
总有一个人陪你走过无声黑夜1,林潇
中医男女科诊疗学,暂缺作者
功能性肛肠病学：功能性肛肠病中西医结合诊疗学,暂缺作者
临床骨科常见病的治疗与康复,暂缺作者
五谷杂粮对症养生图典,张明
蔬果对症养生图典,张明
中小学生心理健康（心理健康一点通）,李艳
家庭急救手册（大字版）,北京急救中心 编
小病药治,金锐
老年人营养与健康,暂缺作者
国外装饰造型艺术,徐丽慧
立体音符 城市景观：邬达克与近代上海城市建筑,上海市历史博物馆
家园记忆：甘肃传统民居建筑文化与艺术,唐晓军
视觉手札：公共空间的信息设计,梁艳，刘昭
筑苑 田居市井,王新征
西方建筑史丛书 当代建筑,（意）保罗·法沃勒|
西方建筑史丛书 哥特式建筑,（意）弗朗西斯卡·普利纳
西方建筑史丛书 罗马式建筑,（意）弗朗西斯卡·普利纳
西方建筑史丛书 文艺复兴建筑,（意）索尼娅·塞尔维达
西方建筑史丛书 19世纪建筑,（意）斯特凡尼娅·科隆纳-普雷蒂
西方建筑史丛书 现代建筑,（意）保罗·法沃莱
西方建筑史丛书 巴洛克与洛可可建筑,（意）克劳迪娅·赞伦，（意）丹妮拉&…
武夷风格,何柯
家具与陈设设计,朱丹
文明的开端：从伊甸园到雅典学堂,陈文捷
西南的价值 优秀景观作品践行之路,中国城市科学研究会“景观学与美丽中国建设…
浦东史诗（精）,何建明
嘉善年鉴（2018 精）,暂缺作者
坊子年鉴（2018 精）,暂缺作者
润州年鉴（2018总第16卷 精）,暂缺作者
甲子典记：光明日报中的宁夏六十年,光明日报宁夏记者站
栖霞年鉴（2018 精）,暂缺作者
函可传（精）,姜念思
大唐玄奘,李兆庆
董竹君：一首激扬的命运交响曲,墨三
因为懂得，所以宽容：张爱玲传,含瑛
历世噶玛巴活佛传（藏文）,米玛次仁
精英：2019我与祖国同辉煌,沙德安 主编
禁食与盛宴（精装）,（英）亚当·费德曼
惊鸿照影巾帼来,尚然
特蕾莎修女：在爱中永生的灿烂人生,暂缺作者
海伦-凯勒自传,﹝美﹞海伦·凯勒
通识教育理论方法及中国实践,李会春
师道师说.李泽厚卷,李泽厚
大数据背景下高校教育管理信息化发展与创新研究,林榕
大数据时代下信息化教学的实践与应用,郝伟
学前儿童常见病与意外伤害应急处理速查手册,戴淑凤
孤独症谱系障碍学生课程融合（第2版）,（美）玛丽·霍利
促进沟通技能的视觉策略,（美）,琳达·A.霍奇登
解决问题行为的视觉策略,（美）,琳达·A.霍奇登
生涯发展教育研究（第15卷）,上海市学生事务中心
生涯发展教育研究（第16卷）,上海市学生事务中心
后茶馆式教学：走向轻负担、高质量的实践研究,上海市静安区教育学院附属学 校
刘大櫆传,朱洪
周文雍和陈铁军,张树军
瞿秋白,张树军
黄继光,军事科学院解放军党史军事研究中心
蔡和森,张树军
卢德铭,军事科学院解放军党史军史研究中心
赵一曼,张树军
张思德,军事科学院解放军党史军史研究中心
李大钊,张树军
笔与刀：中国新兴木刻版画（1930-1949）,安雪
王羲之十七帖,上海图书馆
龙藏寺碑,上海图书馆
张猛龙碑并阴,上海图书馆
中岳嵩高灵庙碑并额,上海图书馆
鲁峻碑,上海图书馆
圭峰定慧禅师碑,上海图书馆
唐俭碑,上海图书馆
旧拓魏志五种,上海图书馆
礼器碑并阴,上海图书馆
活出一个强大到温柔的小宇宙, 著
吴磊：地面飞行, 著
只为女人拍电影：沟口健二的世界,[日] 
谁的小眼睛还没看影帝（全2册）, 著
无尽之河：平克·弗洛伊德传,[英] 马克·布莱克（Mark Blake） 著，…
董卿：在时光中优雅盛开, 著
生命因你而火热：《乐队的夏天》冠军新裤子乐队首部自传随笔集,，
天气魔术认读100字,暂缺作者
海洋奇遇记认读100字,暂缺作者
灵性亲密关系,李安妮
亲情与友情,裘婉华
你不再是你，时光也不再是时光,青稞
婚姻与收养登记实务,蒋新红
断桥残雪,王旭烽
士为知己（套装全三册）,蓝色狮
落月迷香,四叶铃兰
江山如画,四叶铃兰
雏菊,李文照
和你相逢好,云拿月
社会排挤与女性婚姻家庭权益的法律保障,王歌雅
18℃的爱,风萧蓝黛
严寒地区某水利枢纽工程安全监测系统鉴定及评价,朱赵辉，李新，武学毅，尚层，田振华，刘健…
降水量观测,周冬生，蒋兆宏
鄂北水资源配置工程与生态环境,罗小勇，王中敏，李世维
统计视角下面板堆石坝变形规律及数值模拟研究,温立峰，李炎隆，柴军瑞
大孔隙介质渗流特性研究,李永业
多水源泵阀联合调控关键技术研究及应用,田雨，陶海军，樊红刚，穆鹏，郑艳侠
2019中国水利发展报告,中华人民共和国水利部
水利水电工程施工技术全书 第一卷 地基与基础工程 第五册 振冲工程,于洪治，张志伟，王文鹏 等
赣南苏区都市区工业振兴研究,刘善庆
供给侧结构性改革背景下内蒙古乳制品业新型化研究,薛强
关系冲突下的品牌危机应对及其修复效果研究,卫海英，李清，陶红
商业秘密保护指南,暂缺作者
休闲民俗与文化传承,刘婷
中国少数民族非物质文化遗产发展报告（2018）,肖远平（彝）柴 立（满）王伟杰 王月月 李…
民俗事象与族群生活：人类学视野中羌族民间文化研究,李祥林
西南彝志（选本.彝汉对照）,暂缺作者
中国人民大学博物馆藏和田出土粟特语文书,毕波，（英）辛威廉
彝族源流（第4集 21-26）,王继超陈光明
彝族源流（第1集 1-7）,王继超陈光明
彝族源流（第3集 15-20）,王继超陈光明
彝族源流（第2集 8-14）,王继超陈光明
祭祀经文篇（上 投确数）,罗世荣，陈宗玉
贵州世居少数民族文化史（卷4）,贵州省民族宗教事务委员会，贵州省科技教育…
边城民族志：一个湘渝黔边界的集镇调查,周大鸣，程瑜
红军从我家乡走过：百名大学生眼里的长征,长江日报
历史的抉择：二战后新加坡华侨争取公民权运动,李奕志
中华状元逸趣,孙自筠，孙迅
联合与斗争：毛泽东、蒋介石与抗战中的国共关系,金冲及 著
学京剧 画京剧：多彩头面,安平
百工02,左靖
多维视角下的民间造型艺术研究,郭晨园
懒人印刷术：当代手工印刷,卡斯帕·威廉姆森
清代瑶族神像画,陈杉，平一斯
望江挑花图案艺术,朱胜甲
中国皮影（3卷）,杨桦林
槐店文狮子研究,李芳，倪胜章
东方凤羽：韩爱萍传, 著
篮球：那些年我们一起追的球队, 著
艺术大师：伊涅斯塔自传,[西] 安德烈斯·伊涅斯塔，[西] 马科斯…
格里兹曼自传：勇敢去追梦,安东尼·格里兹曼 口述 ;  阿诺德…
浴火的凤凰：郎平和女排姑娘们, 著
文国刚传, 著
中国精神, 著
蔚蓝金黄：金州勇士传, 著
我的转身：克鲁伊夫自传,[荷] 
志行风格：容志行传, 著
不负青春，野蛮生长, 著
你的骄傲2（大结局）, 著
为爱独行, 著
当幸福来敲门, 著
经典文学+励志四本套（我在渡口等你+瓦尔登湖+人间失格+这一生为自己而活）, 著
厄尔尼诺, 著
出走的少女,，
一片叶子的旅行, 著
曾是白马少年时, 编
少年绘 第20辑, 著
野百合也有春天（双鱼座：青春+优雅+健康，阳光+励志+唯美）,《小公主》工作室 著
小天使的秘密花园（处女座：青春+优雅+健康，阳光+励志+唯美）,《小公主》工作室 著
报告！神探1：师父请上座,春山三月
报告！神探2：女侠请接招,沉香子
摩羯座2-寄给少年薄荷云,熊小暖
夏风微微起，好想熊抱你1,夏半秋
木兰帝 流光姬,灯火阑珊
世子妃攻略1,萧小船
校园小超人：窗外的眼睛,两色风景
胜爱半子,楚鲤
柠檬梦,唐奕然
雪满天川,浥轻尘
蓝哈欠和绿哈欠,王梓烨
光影奇缘,陈峤
九品发明家：学霸奇妙物语1,夏至
半是明媚，半是忧伤：双子卷,阿朱
相处不累,意林编辑部
上党戏圣段二淼,，
人民艺术家郭兰英, 著
国画大师 赵望云传,，
漆黑清晨, 著，
大匠之门（齐白石研究 第10辑）,湘潭市齐白石纪念馆 编
美育人生：人民艺术家吴冠中百年诞辰纪念文集, 编
用生命播音的人：忆齐越, 著
把声音献给祖国, 著，
卡尔·拉格斐传,[法] 洛朗·阿朗-卡龙 著，叶蔚林 译
聂耳：从昆明走向世界, 编
木工技艺传承人口述史研究, 著
正气悲歌文天祥, 著
诚斋内外杨万里, 著，
学者书家詹安泰, 编
裴多菲研究, 著
冰心年谱长编（套装上下册）, 著
余光中传：永远的乡愁, 著
西风几度悲画扇：纳兰容若词传, 著
带猎犬的女子,[美] 
述往：随行巴金, 著
救赎的可能：走近史铁生, 著
李清照词传：半世烟雨，半世落花, 著
我的小说家修炼法,[日] 
儿童智力障碍  看看专家怎么说,古桂雄，王书荃
儿童上网 看看专家怎么说,高文斌
儿童多动症  看看专家怎么说,杜亚松
儿童进食与排泄障碍 看看专家怎么说,柯晓燕，韩新民
孤独症和阿斯伯格综合征 看看专家怎么说,刘靖，刘振寰，郭延庆
儿童百问百答28：紧急救治（我的第一本科学漫画书）,（韩）申惠英
糖诗三百首（糖尿病病人必读）,暂缺作者
烘焙工坊 Bakery Design,（希）阿萨纳西奥斯·措克斯
伊丽莎白 波特赞姆巴克建筑设计作品集,（法）伊丽莎白.波特赞姆巴克
时髦避世2019中国设计酒店年鉴,中国最佳设计酒店大奖编委会
历史遗珍：山西古代建筑六十例,荀建
现代哲学现代建筑：现代建筑运动时期哲学家对建筑的反思,郑炘
黄奕住传,赵德馨，马长伟
近代武汉爱国实业家贺衡夫,王申，马自勤
乔布斯全传,张乐
李嘉诚全书,张乐
四十年，不凡的变革者,《中国经营报》
镇江百年创业人物传奇,镇江市创业就业工作领导小组
陈光甫：中国摩根,刘未鸣，詹红旗
穆藕初：衣被天下,刘未鸣，詹红旗
荣氏兄弟：为天下人布芳馨,刘未鸣，詹红旗
互联网安全实践,雷敏，杨榆，王刚
云数据中心内部网络安全防御关键技术,王欢（等）
计算机文化（原书第20版）,（美）琼·詹姆里奇·帕森斯
物联网程序设计：基于微软的物联网解决方案,（美）大卫·克劳斯
袁枚正传：古代中国活得令人艳羡的大隐士,徐清祥
计算机网络搭建,孙岩松，邵洋
汇编语言与接口技术,曾兰玲
恒鹰传奇,郑旺盛
恒鹰传奇（精）,郑旺盛
做一个特立独行的女子：三毛传,张庆龙
