幼学琼林全鉴（珍藏版）, 著
霍懋征的爱的教育,陈一鸣
墨缘 食砚斋主人珍藏书画随笔,宋玉麟
人美书谱 明王铎秋兴八首行书五言律诗颂苏侍御,暂缺作者
人美书谱 明文徵明醉翁亭记心经陋室铭,暂缺作者
人美书谱 北宋米芾手札十七种,暂缺作者
人美书谱 行书,暂缺作者
人美书谱 行书,暂缺作者
人美书谱 明董其昌岳阳楼记,暂缺作者
人美书谱 唐陆柬之文赋,暂缺作者
智能高压设备,刘有为
特高压输电线路常见缺陷故障案例分析,国家电网有限公司设备管理部
电气油气试验知识图解,蔡敏
IEC全球能源互联网报告（中英文对照）,国际电工委员会（IEC）
最好的管理是互相成就：激发组织活力的沟通技巧与领导力,（日）吉田素文
钢结构工程施工教程,侯兆新，陈禄如
云服务视角下IT项目投资策略分析,卢山，陈丽娜
数字治理与政府改革创新,王印红
广告设计中的审美与美术创作研究,陈丽，刘媛，梁娜
水声传感器网络拓扑（第2版）,何明
宁波市太阳能光热及地源热泵技术建筑应用典型案例评析,暂缺作者
平板显示释疑手册（第2辑）,焦峰，吴威谚，王海宏
海绵城市建设实践与探索：萍乡经验,李小豹 编
规划的混乱：探寻花楼街,胡晓青，何志森，张点
景观手绘表现技法,王炼
真品与赝品：艺术造假趣闻录,[日] 濑木慎一 著，欧丽贤 陆道夫 译
欲望与道义的焚炉：中国文物市场现状, 著
外乡的高雅艺术,[美国] 斯图尔特·普拉特纳 著，郭欣然…
中国网络文艺发展研究报告（2019版 2018-2019）,中国文联网络文艺传播中心 编
中国画论导读, 著
线描风景写生,汤向
手绘新课堂 素描女孩,潘小欧
洛伊斯的奇想世界：荷兰超人气插画师的CG绘画灵感与技巧,（荷）洛伊斯·凡·巴勒
写意花鸟 蔬果,伍小东
张旺手绘人体结构研习手册（古斓斑最手绘）,张旺
水墨表现研究,韩奉军，侯薇薇
汉字书写与现当代作家手稿,李继凯，李徽昭 等
高冀生钢笔建筑速写解析,高冀生
画见,止庵 著
沈南强画集,暂缺作者
诸子百家（全4卷）,（战国）孟子
四书五经（全4卷）,（春秋）孔子
孙子兵法与三十六计（无障碍阅读 精）,（春秋）孙武
精编史记（无障碍阅读 精）,（西汉）司马迁
管理大师经典,哈佛商业评论
教师网络学习共同体与英语教学数字化融合创新,吴秉健
语料库与话语研究,许家金
语料库与学术英语研究,姜峰
习近平谈一带一路（法 精装）,习近平
习近平谈一带一路（英 精装）,习近平
问西东：新英格兰游学记,罗维
曾国藩家书（精装全二册）,（清）曾国藩
黄奕住传,赵德馨，马长伟
函可传（精）,姜念思
大唐玄奘,李兆庆
董竹君：一首激扬的命运交响曲,墨三
